level,module,eclass,abstract,current_container,proposed_container,feature,feature_kind,feature_type,opposite,verdict,rationale,flags
cim,cim-organization.emf,AcceptanceCriterion,False,Requirement.acceptanceCriteria,Requirement.acceptanceCriteria,,,,,ok,leaf classifier,
cim,cim-organization.emf,Actor,False,CIMModel.actors,CIMModel.actors,playsRoles,ref,Role,assignedTo,ref,cross-link,
cim,cim-organization.emf,Actor,False,CIMModel.actors,CIMModel.actors,issuesCommands,ref,Command,issuedBy,ref,cross-link,
cim,cim-organization.emf,Actor,False,CIMModel.actors,CIMModel.actors,issuesQueries,ref,Query,issuedBy,ref,cross-link,
cim,cim-organization.emf,Actor,False,CIMModel.actors,CIMModel.actors,observesEvents,ref,BusinessEvent,,ref,cross-link,
cim,cim-domain-data.emf,AggregateCandidate,False,CIMModel.aggregates,CIMModel.aggregates,invariants,val,BusinessInvariant,,val,containment owner,
cim,cim-domain-data.emf,AggregateCandidate,False,CIMModel.aggregates,CIMModel.aggregates,members,ref,DomainEntity,,ref,cross-link,
cim,cim-domain-data.emf,AggregateCandidate,False,CIMModel.aggregates,CIMModel.aggregates,context,ref,BoundedContextCandidate,,ref,cross-link,
cim,cim-domain-data.emf,AggregateCandidate,False,CIMModel.aggregates,CIMModel.aggregates,handledCommands,ref,Command,,ref,cross-link,
cim,cim-domain-data.emf,AggregateCandidate,False,CIMModel.aggregates,CIMModel.aggregates,emittedEvents,ref,BusinessEvent,,ref,cross-link,
cim,cim-transformation.emf,Assumption,False,CIMModel.assumptions,CIMModel.assumptions,affectedElements,ref,ModelElement,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,glossaryTerms,val,UbiquitousLanguageTerm,context,val,containment owner,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,capabilities,ref,BusinessCapability,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,entities,ref,DomainEntity,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,commands,ref,Command,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,queries,ref,Query,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,events,ref,BusinessEvent,,ref,cross-link,
cim,cim-organization.emf,BoundedContextCandidate,False,CIMModel.boundedContexts,CIMModel.boundedContexts,policies,ref,Policy,,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,owner,ref,Actor,,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,supports,ref,BusinessGoal,,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,realizesRequirements,ref,Requirement,,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,containsCommands,ref,Command,targetCapability,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,containsQueries,ref,Query,targetCapability,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,containsEvents,ref,BusinessEvent,,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,managesEntities,ref,DomainEntity,owningCapability,ref,cross-link,
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,ownsProcesses,ref,BusinessProcess,owningCapability,ref,duplicate ownership — remove,owns-ref
cim,cim-organization.emf,BusinessCapability,False,CIMModel.capabilities,CIMModel.capabilities,constrainedBy,ref,NonFunctionalRequirement,,ref,cross-link,owns-ref
